ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:22:17
Stop time: 10:23:50
Overruns: 0  Errorframes: 0                                          
Baudrate: -"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:00:22.879";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:22.879";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:22.888";"FD";"Std";"";"B7 D5 1F 80 00 00 00 00"
"00:00:22.888";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:00:22.888";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:00:22.889";"485";"Std";"";"00 06 40 28 3E D2 74 58"
"00:00:22.889";"585";"Std";"";"03 3C 20 7F 12 00 00 00"
"00:00:22.890";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.890";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:22.891";"107";"Std";"";"00 00 FE F3 00 12 03 41"
"00:00:22.892";"40";"Std";"";"73 0E 00 00 C1 00 00 00"
"00:00:22.893";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:22.895";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:00:22.896";"3DC";"Std";"";"E0 00 30 0B 00 05 00 00"
"00:00:22.897";"101";"Std";"";"D3 06 7F FB 81 26 00 00"
"00:00:22.901";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:22.901";"3E5";"Std";"";"E1 1E 00 00 00 00 00 00"
"00:00:22.901";"6B2";"Std";"";"0B 20 00 B0 98 7F 37 33"
"00:00:22.905";"30B";"Std";"";"10 28 81 00 08 00 00 10"
"00:00:22.905";"5F2";"Std";"";"00 00"
"00:00:22.905";"643";"Std";"";"00 02 1A 00 00 00 00 00"
"00:00:22.905";"16A95497";"Ext";"";"00 E0 E9 00 00 00 00 00"
"00:00:22.906";"663";"Std";"";"60 28 20 0E 14 A4 1E 00"
"00:00:22.908";"FD";"Std";"";"A5 D6 1F 80 00 00 00 00"
"00:00:22.909";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.911";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:22.911";"107";"Std";"";"00 00 FE F3 00 12 07 41"
"00:00:22.915";"32A";"Std";"";"3E 04 00 00 48 02 00 00"
"00:00:22.916";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:22.917";"101";"Std";"";"06 07 7F FB 81 2A 00 00"
"00:00:22.918";"31B";"Std";"";"CC 02 00 00 00 00 00 00"
"00:00:22.919";"31E";"Std";"";"2D E5 3F 00 00 00 00 00"
"00:00:22.923";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:22.924";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:22.926";"3DA";"Std";"";"22 08 00 00 00 C8 01 00"
"00:00:22.927";"FD";"Std";"";"9F D7 1F 80 00 00 00 00"
"00:00:22.929";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.930";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:00:22.931";"107";"Std";"";"00 00 FE F3 80 12 0B 41"
"00:00:22.934";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:22.934";"3C0";"Std";"";"84 03 03 00"
"00:00:22.934";"3D5";"Std";"";"65 0C 00 04 00 00 00 00"
"00:00:22.934";"3D6";"Std";"";"0C 00 00 00 00 00 00 00"
"00:00:22.936";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:22.937";"101";"Std";"";"01 08 7F FB 81 28 00 00"
"00:00:22.939";"1B00004B";"Ext";"";"4B 00 04 01 11 00 00 01"
"00:00:22.940";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:22.940";"6B4";"Std";"";"00 46 90 93 FC 33 56 57"
"00:00:22.940";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
"00:00:22.942";"40";"Std";"";"17 0F 00 00 C1 00 00 00"
"00:00:22.946";"3DC";"Std";"";"E0 00 28 0B 00 05 00 00"
"00:00:22.948";"FD";"Std";"";"58 D8 1F 80 00 00 00 00"
"00:00:22.950";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.950";"17F0000C";"Ext";"";"20 0C 00 00 00 00 00 00"
"00:00:22.951";"107";"Std";"";"00 00 FE F3 80 12 0F 41"
"00:00:22.955";"30B";"Std";"";"10 29 81 00 08 00 00 10"
"00:00:22.955";"65E";"Std";"";"00 00 04 02 00 00 00 00"
"00:00:22.955";"17331310";"Ext";"";"34 C4 0A"
"00:00:22.955";"17F00014";"Ext";"";"20 14 00 00 00 00 00 00"
"00:00:22.956";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:22.957";"101";"Std";"";"24 09 7F FB 81 27 00 00"
"00:00:22.961";"3C7";"Std";"";"FD 00 00 00 00 40 A0 00"
"00:00:22.962";"640";"Std";"";"02 8E 7B AD 75 20 08 00"
"00:00:22.962";"641";"Std";"";"3D 13 0A 50 14 0E 6E 14"
"00:00:22.962";"391";"Std";"";"34 7B 22 3E 00 27 00 20"
"00:00:22.964";"394";"Std";"";"AC 1F 00 10 00 00 00 00"
"00:00:22.965";"32A";"Std";"";"5A 05 00 00 48 02 00 00"
"00:00:22.966";"116";"Std";"";"B3 08 00 00 00 00 00 FF"
"00:00:22.968";"FD";"Std";"";"6A D9 1F 80 00 00 00 00"
"00:00:22.968";"31B";"Std";"";"A0 03 00 00 00 00 00 00"
"00:00:22.969";"31E";"Std";"";"AA E6 3F 00 00 00 00 00"
"00:00:22.970";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.972";"107";"Std";"";"00 00 FE F3 80 12 13 41"
"00:00:22.976";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:00:22.977";"101";"Std";"";"3D 0A 7F FB 81 26 00 00"
"00:00:22.979";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:22.979";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:22.987";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:00:22.989";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.990";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:22.990";"3D4";"Std";"";"C7 07 A0 06 00 04 00 00"
"00:00:22.991";"107";"Std";"";"00 00 FE F3 80 12 17 41"
"00:00:22.992";"40";"Std";"";"55 00 00 00 C1 00 00 00"
"00:00:22.993";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:22.994";"520";"Std";"";"15 0C 00 08 00 0A 00 00"
"00:00:22.996";"3DC";"Std";"";"E0 00 2A 0B 00 05 00 00"
"00:00:22.997";"101";"Std";"";"59 0B 7F FB 81 26 00 00"
"00:00:22.998";"17332810";"Ext";"";"80 08 3A 10 00 00 7F FF"
"00:00:23.001";"1B00004A";"Ext";"";"4A 00 04 01 11 00 00 01"
"00:00:23.001";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:23.001";"3E5";"Std";"";"D1 1F 00 00 00 00 00 00"
"00:00:23.005";"30B";"Std";"";"10 2A 81 00 08 00 00 10"
"00:00:23.005";"52A";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.005";"6B6";"Std";"";"30 0B 1F 17 1B 27"
"00:00:23.005";"6B7";"Std";"";"20 00 D0 45 00 03 40 98"
"00:00:23.006";"6B8";"Std";"";"A6 07 18 B0 04 5F 00 00"
"00:00:23.006";"663";"Std";"";"60 28 20 0E 16 A4 1E 00"
"00:00:23.008";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:00:23.010";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.011";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:23.012";"107";"Std";"";"00 00 FE F3 80 12 1B 41"
"00:00:23.012";"1B000031";"Ext";"";"31 00 04 03 01 00 00 00"
"00:00:23.015";"32A";"Std";"";"F6 06 00 00 48 02 00 00"
"00:00:23.016";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:23.017";"101";"Std";"";"6A 0C 80 FB 81 27 00 00"
"00:00:23.018";"31B";"Std";"";"BC 04 00 00 00 00 00 00"
"00:00:23.020";"31E";"Std";"";"AC E7 3F 00 00 00 00 00"
"00:00:23.020";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:23.020";"1B000046";"Ext";"";"46 00 04 01 01 00 00 00"
"00:00:23.023";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:23.024";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:23.024";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.024";"5E9";"Std";"";"00 22 02 00 00 00 00 00"
"00:00:23.024";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:00:23.025";"17331210";"Ext";"";"34 8F 00"
"00:00:23.026";"3DA";"Std";"";"22 08 00 00 00 C8 01 00"
"00:00:23.026";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:00:23.027";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:00:23.028";"17332810";"Ext";"";"C0 BF DF FF C0"
"00:00:23.029";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.030";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:00:23.031";"107";"Std";"";"00 00 FE F3 80 12 1F 41"
"00:00:23.034";"3C0";"Std";"";"FE 04 03 00"
"00:00:23.034";"3D5";"Std";"";"41 0D 00 04 00 00 00 00"
"00:00:23.034";"3D6";"Std";"";"0D 00 00 00 00 00 00 00"
"00:00:23.034";"583";"Std";"";"00 10 80 00 00 44 40 00"
"00:00:23.035";"584";"Std";"";"41 04 00 00 00 00"
"00:00:23.035";"5A0";"Std";"";"00 06 80 20 78"
"00:00:23.035";"5E1";"Std";"";"A3 2A 00 60 FE 00 00 00"
"00:00:23.035";"5F0";"Std";"";"64 00 64 00 00 64 00 00"
"00:00:23.036";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:23.037";"101";"Std";"";"2E 0D 7F FB 81 26 00 00"
"00:00:23.040";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:23.042";"40";"Std";"";"31 01 00 00 C1 00 00 00"
"00:00:23.045";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:00:23.046";"3DC";"Std";"";"E0 00 0C 0B 00 05 00 00"
"00:00:23.047";"FD";"Std";"";"19 DD 1F 80 00 00 00 00"
"00:00:23.050";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.051";"107";"Std";"";"00 00 FE F3 80 12 24 41"
"00:00:23.055";"30B";"Std";"";"10 2B 81 00 08 00 00 10"
"00:00:23.055";"17330E10";"Ext";"";"33 8F 00"
"00:00:23.056";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:23.057";"101";"Std";"";"37 0E 7F FB 81 27 00 00"
"00:00:23.060";"647";"Std";"";"B8 F2 FF 7F 00 00 00 B9"
"00:00:23.061";"391";"Std";"";"34 7B 22 3E 00 27 00 20"
"00:00:23.062";"3C7";"Std";"";"14 00 00 00 00 40 A0 00"
"00:00:23.062";"642";"Std";"";"00 00 00 00 0C 0C 0F 0F"
"00:00:23.063";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:00:23.065";"32A";"Std";"";"92 07 00 00 48 02 00 00"
"00:00:23.065";"17330910";"Ext";"";"80 08 32 43 38 07 3A 04"
"00:00:23.065";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:00:23.067";"FD";"Std";"";"E6 DE 1F 80 00 00 00 00"
"00:00:23.068";"31B";"Std";"";"51 05 00 00 00 00 00 00"
"00:00:23.069";"31E";"Std";"";"E5 E8 3F 00 00 00 00 00"
"00:00:23.070";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.072";"107";"Std";"";"00 00 FE F3 80 12 28 41"
"00:00:23.075";"17330D10";"Ext";"";"33 4D 10"
"00:00:23.077";"101";"Std";"";"E6 0F 7F FB 81 26 00 00"
"00:00:23.079";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:23.079";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:23.085";"17330810";"Ext";"";"80 29 32 0E 00 FF 00 00"
"00:00:23.086";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:00:23.086";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:00:23.087";"485";"Std";"";"00 06 40 28 3F D2 74 58"
"00:00:23.087";"FD";"Std";"";"71 DF 1F 80 00 00 00 00"
"00:00:23.090";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.090";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:23.092";"40";"Std";"";"9D 02 00 00 C1 00 00 00"
"00:00:23.092";"107";"Std";"";"00 00 FE F3 80 12 2C 41"
